,job_id,job_title,company,location,category,sub_category,job_type,salary,description
10,74602585,Data Analyst/Scientist,PERSOLKELLY Workforce Solutions Malaysia Sdn Bhd,Kulim District,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,"RM 3,500 – RM 5,000 per month","What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
How many years' experience do you have using SQL queries?"
11,74586835,Data Engineer,Michael Page International (Malaysia) Sdn Bhd,Kuala Lumpur,Information & Communication Technology,Database Development & Administration,Full time,$36k - $64k p.a. + Bonus + Other benefits,"Designing and implementing Data pipelines and ETL processes from various sources into our Data Warehouse
Ensure that data is cleaned, standardized, and properly structured to minimize data inconsistencies and gaps
Create and maintain data pipelines to facilitate the smooth flow of data throughout the organization
Work closely with cross-functional teams to identify data integration needs and implement solutions that enable seamless data movement
Establish data quality standards and processes to monitor and maintain the accuracy and integrity of data within Big Query and other data systems
Implement data validation techniques to identify and rectify invalid or incomplete data entries
Design and maintain data schemas to ensure consistency and efficiency in data storage and retrieval
Collaborate with Tech and Business teams to refine data models and adapt to changing business needs
Drive data-centric decision-making within the organization
Collaborate with stakeholders to foster a data-driven culture by promoting data literacy and usage
Bachelor's degree in Computer Science, Engineering or a related field
Proven experience as a Data Engineer or similar role, with a track record of implementing successful data solutions
Proficiency in ETL (Extract, Transform, Load) processes and data integration techniques
Strong knowledge of database systems and data warehousing concepts
Experience with Google Cloud Platform (GCP) services"
12,74513015,Senior Data Scientist (Full Stack),Ambition Group Malaysia Sdn Bhd,Petaling,Consulting & Strategy,Other,Full time,Attractive Remuneration Package,"Utilize technical proficiency for data gathering, cleaning, and preprocessing from varied sources.
Develop, train, and assess machine learning models for solving business problems like predictive analytics and natural language processing.
Conduct statistical analysis, hypothesis testing, and data-driven experimentation; stay updated on emerging trends in data science and machine learning
Degree/Master in Computer Science, Mathematics, Statistics.
Experienced in all aspects of the data science lifecycle, including problem formulation, data collection and preprocessing, exploratory data analysis, feature engineering, model selection and training, model evaluation.
Familiar working with cloud-based big data platforms (Azure, GCP, AWS)
A minimum 3 years of hands on experience with Python.
Excellent communication skills in Bahasa Melayu and English."
13,74636692,Data Analyst,Agensi Pekerjaan Talent Recruit Sdn. Bhd.,Kuala Selangor District,Information & Communication Technology,Business/Systems Analysts,Full time,"RM 4,000 – RM 5,000 per month","Analyze and interpret key indicators in e-commerce
Provide valuable insights and identify trends based on the sales data and suggest recommendations and key action plans 
Provide competitor analysis 
Evaluation of the effectiveness of sales and marketing tools and mechanics
Creating and developing tools for analysis and information processing 
Presenting the results of reports and graphical modeling of data 
Work closely with the e-Commerce sales team to increase sales and revenue 
Develop and maintain data pipelines to ensure data accuracy, integrity, and availability
Develop and maintain e-Commerce dashboards as per client’s requests
Providing insight to the e-Commerce sales team to optimize marketing expenses
Data Review: reviewing and validating data from various sources (e.g. Lazada, Shopee, etc.) to ensure data quality and accuracy
Diploma or Bachelor’s degree in Data Science, Statistics, Computer Science, or a related field 
Min 
1 - 2 years of experience as a Data Analyst/Business Analyst/Category Management preferably in E-Commerce or FMCG industry
Advanced Excel and data mining skills 
Proficient in data visualization tools (e.g. Power BI) and database query languages (e.g. SQL) 
Knowledge of Cloud Computing is an added advantage (e.g. Azure) 
Familiarity with Azure Data Factory and Azure Synapse Pipelines is an added advantage 
Ability to work independently and take the lead in projects 
Strong presentation skills
Permanent employment
Working hours : Mon - Fri (9am – 6pm) *
Saturday half day only when required by Management during certain peak events (very occasional)
Working location : Puncak Alam
What's your expected monthly basic salary?"
14,74601731,Data Analyst Internship,Air Energy Consulting (Malaysia) Sdn Bhd,Kuala Lumpur,Administration & Office Support,Records Management & Document Control,Contract/Temp,"RM 900 – RM 1,000 per month","Review and update on Bullhorn data for Asia placements.
Work with the Service Team Australia on updating the Bullhorn data for data accuracy.
Work closely with the Quality Coordinator on the accuracy and completeness of the data (Client’s PO/WO and Contractors’ employment packages) within the Airswift systems.
Work with the relevant parties to ensure that any errors are corrected promptly.
Administrator and investigate client, assignee and consultant surveys.
Data analysis – accuracy report that was generated for the entire Asia Pacific Region.
Consolidate data and dashboards for distribution to SVPs and Global Operations as required.
Manage the Business Continuity plan and Office Safety for the super region and specific country.
Work with other members of the Regional Commercial Team, ensuring that all requests for review, questions and queries are addressed, and escalating to the relevant people when required.
The entire process flow of how a manpower/workforce solution provider organisation functions (Sales/BD -> Recruitment -> Onboarding -> Payroll -> Billing).
Diploma or Degree in Business Administration or Management or equivalent.
Knowledge of relevant regulatory requirements in the region.
Excellent technical skills including all Microsoft Office products and understanding of statistics.
Ability to problem solve with high attention to detail.
Excellent written and verbal communication and interpersonal skills.
Must have a sense of urgency in completing tasks.
Client service orientated with good teamwork skills.
Ownership and willingness to accept responsibility.
Virtual Onboarding Events.
Team-driven environment fostering a supportive culture with a strong emphasis on work-life balance.
Cheers! where your peers can nominate you for outstanding performance.
Coaching and Training are provided.
Growth
 - In life and business, one must grow to flourish and achieve high ambitions. Growth requires change, challenge, risk and sacrifice - we will always choose growth.
Safety
 - We create a safe and inclusive environment to protect the physical and psychological well-being of everyone we work with.
Excellence
 - We deliver, holding ourselves accountable for results. Our customers see excellence in everything we do.
Integrity
 - We are ethical, open, honest and authentic. People trust us to do the right thing for the right reason.
Which of the following statements best describes your right to work in Malaysia?"
15,74360323,Data Scientist,TALENTBANK SDN BHD,Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 6,800 – RM 10,200 per month","Which of the following programming languages are you experienced in?
What's your expected monthly basic salary?
Which of the following data analytics tools are you experienced with?
How many years' experience do you have as a data scientist?"
16,74433737,Data Engineer,Michael Page International (Malaysia) Sdn Bhd,Selangor,Sales,Other,Full time,$96k - $97k p.a.,"Attractive remuneration package
Be part of a globally recognised organisation
Enhance your development skills"
17,74323540,Data Scientist,AGENSI PEKERJAAN LEWIS TALENT CONSULTING SDN. BHD.,Petaling,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 6,000 – RM 8,500 per month","Understanding the data information, investigating and preprocessing vast datasets to unveil significant features and insights.
Design and deploy predictive models employing advanced statistical and machine learning techniques to address complex business issues.
Generate compelling visualizations to illustrate complex analyses and insights to both technical and non-technical audiences.
Engage closely with multidisciplinary teams to grasp business objectives and partake in data-driven projects.
Keep abreast of the latest data science advancements and enhance the organization's data science methodologies.
At least possess a Master's or Ph.D. in Data Science, Statistics, Computer Science, or related fields.
Demonstrated experience as a Data Scientist, supported by a portfolio of successful data science projects.
Expertise in Python or R, including familiarity with relevant libraries and frameworks.
Solid foundation and experience in applying machine learning algorithms to practical problems.
Strong interpersonal and communication capabilities for effective teamwork with cross-functional groups.
Commitment to staying informed about industry trends, data science techniques, and tools. Engage in ongoing training and development programs as necessary.
Expertise in analyzing extensive, complex datasets to extract valuable insights.
Proficiency in applying statistical and machine learning methods to solve real-world challenges.
Competence in programming languages like Python or R for data analysis and modeling.
Strong ability in creating visualizations with tools such as Tableau, Power BI, or similar platforms.
Creative problem-solving aptitude for tackling complex business issues with data-driven solutions.
Exceptional ability to articulate complex findings and insights clearly.
How many years' experience do you have as a data scientist?
Which of the following programming languages are you experienced in?
Which of the following data analytics tools are you experienced with?
How would you rate your Mandarin language skills?
Which of the following languages are you fluent in?"
18,73981733,Big Data Engineer - Cloud,Private Advertiser,Kuala Lumpur,Information & Communication Technology,Engineering - Software,Contract/Temp,"RM 9,000 – RM 13,000 per month","Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?


Role descriptions


Salary insights


Tools to help you prepare for jobs

"
19,74324430,Data Scientist Assistant Manager,AGENSI PEKERJAAN LEWIS TALENT CONSULTING SDN. BHD.,Petaling,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 10,000 – RM 14,000 per month","Support the oversight of data science projects to ensure their timely and precise execution, delivering advanced analytics and insights. Address project hurdles collaboratively and refine project outcomes.
Assist the Data Scientist Manager in mentoring and directing the data science team. Offer guidance on project priorities, technical challenges, and career growth.
Engage with your team to craft and execute predictive models leveraging sophisticated statistical and machine learning techniques to tackle complex business issues.
Aid in the exploration and preprocessing of large datasets to unearth valuable features and insights.
Collaborate effectively with multidisciplinary teams to grasp business goals, align data science projects, and articulate insights to non-technical audiences.
Drive the enhancement of data science methodologies and processes. Keep abreast of industry standards and evolving trends.
Holding a minimum of Master's or Ph.D. in Data Science, Statistics, Computer Science, or any other related fields.
Demonstrable experience as a Data Scientist, including roles in leadership or management.
High proficiency in languages such as Python or R, along with familiarity with pertinent libraries and frameworks.
A thorough grasp and application experience of machine learning algorithms in practical scenarios.
Excellent interpersonal and communication skills for effective teamwork and cross-functional collaboration.
A commitment to continuous learning, staying updated with data science trends, techniques, and tools, and participating in relevant training and development programs.
Proven leadership ability to mentor and inspire a team of data scientists.
Exceptional project management capabilities, with a knack for prioritizing, resource allocation, and deadline adherence.
Skilled in dissecting large, intricate datasets to extract significant insights.
Proficiency in utilizing advanced statistical and machine learning methods to address real-world challenges.
Competent in programming languages like Python or R for data analysis and modeling.
Strong communication skills, capable of explaining complex findings to a broad audience range.
How many years' experience do you have as an Assistant Manager?
Which of the following programming languages are you experienced in?
Which of the following data analytics tools are you experienced with?
Which of the following languages are you fluent in?
How would you rate your Mandarin language skills?"
20,74488251,Data Engineer/Data Cloud Engineer/Salesforce,LIEGE SOLUTIONS SDN. BHD.,Kuala Lumpur,Information & Communication Technology,Engineering - Software,Full time,"RM 8,000 – RM 12,000 per month","Develop, build, and implement Salesforce Data Cloud instances in conjunction with Salesforces (Sales/Service, Salesforce Marketing Cloud, etc.)
Develop, oversee, and maintain key data model, segmentation, architecture, code documentation, and technical specifications for designated workstreams.
Lead the development and physical design of solutions, guide the development team, and ensure the system's architectural integrity.
Implement Salesforce Data Cloud, emphasizing data modelling, performance optimization, and integrations.
Function as a technical solution specialist within the Salesforce Data Cloud ecosystem, including components like Data streams, Unified Data Model, Transformations/Insights, Identity Resolution, Segmentations, etc. 
Drive end-to-end project execution, encompassing analysis, documentation, solution development, testing, and performance, to meet client expectations.
Identify technical design and data model risks, confirm their validity, and devise strategies to mitigate them.
Actively participate in technical design and data model workshops alongside Engineering Teams and business stakeholders.
Clearly translate and communicate technical requirements and solutions to the business using story-based narratives, and present strategies and recommendations to executives.
Ensure that technical documentation is consistently updated through active participation in technical workshops.
Lead sessions to understand client needs in technical marketing and Salesforce Data Cloud requirements, and act as a crucial technical resource throughout the implementation process.
Assess client requirements, propose effective solutions, and communicate the capabilities and limitations of Salesforce Data Cloud, Marketing Cloud Engage, Personalization, Intelligence, Sales, Service, and other relevant SF ecosystem platforms.
Oversee and coordinate testing activities, including System Integration Testing (SIT) and User Acceptance Testing (UAT), in line with the project's scope.
Manage workstreams in large-scale enterprise implementations, focusing on Salesforce Data Cloud architecture and data models.
Bachelor's Degree.
Experience with at least 1 end-to-end Salesforce Data Cloud implementation.
Experience with at least 1 Salesforce cross-cloud integrations.
5+ years in data model and architecture in the Salesforce ecosystem.
5+ years in consulting, project implementation for global based client, or project management using Agile methodologies.
5+ years in Customer Data Modelling best practices.
Proficiency in moderately complex SQL queries, SOQL, Python.
Experience in integrating with cloud-based data warehouses/data lakes (e.g. Snowflake, Databricks, etc.).
Effective communication to both technical and non-technical audiences.
Experience with Tableu, Data Analytic Platform (e.g. PowerBI).
Experience with Segmentation strategy.
Experience with Marketing Cloud Personalization.
Experience with Adobe, Marketo, Oracle or other enterprise marketing automation or CDP platforms.
Front-end coding skills (HTML, CSS/SASS, Typescript, React, XML, JSON).
Salesforce certifications (Salesforce Data Cloud Consultant , and Salesforce Certifications - Marketing Cloud, Admin, etc.).
A supportive, friendly and professional team environment;
Stability to develop your career with an established and growth focused company; 
A range of benefits as part of our Employee Benefit Program;
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?
How many years' experience do you have as a Salesforce Developer?
How many years' experience do you have as a Salesforce Architect?
How many years' experience do you have as a Salesforce Marketing Cloud Specialist?
How many years' experience do you have as a Salesforce Engineer?"
21,74354434,Data Analyst,EMART24 HOLDINGS SDN. BHD.,Petaling,Information & Communication Technology,Business/Systems Analysts,Full time,"RM 6,800 – RM 7,000 per month","Develop and maintain dashboards and reports that provide insights into key performance indicators (KPIs) across all business functions.
Partner with IT team to leverage technology infrastructure and tools to optimize data collection, storage, and analysis processes.
Conduct ad-hoc analysis to answer business questions and identify opportunities for growth and improvement.
Collaborate with cross-functional teams to identify, analyze and recommend data driven solutions to business problems.
Develop and maintain data pipelines to ensure data is accurate, consistent, and available in a timely manner.
Identify and recommend BI tools that can help to improve data visibility and analysis across the organization.
Train and support end-users on the use of BI tools and dashboards.
Provide recommendations to stakeholders on how to use data to drive growth and improve bottom-line results.
Continuously monitor the performance of the business and make recommendations for improvement based on data analysis.
Maintain a high level of data quality, accuracy, and consistency.
Bachelor's degree in Actuarial Science, Computer Science, Information Technology, or a related field.
Proven experience (3-5 years) in a business intelligence or data analyst role, preferably in a retail or eCommerce environment.
Experience using BI tools such as Power BI, Tableau, Metabase, or Google Data Studio.
Proficient in SQL and/or Python, and data visualization tools.
Strong analytical and problem-solving skills with the ability to work with complex data sets.
Ability to work collaboratively and communicate effectively with cross-functional teams.
Knowledge of retail or eCommerce industry and data trends.
Excellent communication skills, both written and verbal, with the ability to communicate complex ideas in a simple and clear manner.
Ability to prioritize and manage multiple projects simultaneously.
Proficient in both English and Bahasa Malaysia.
Which of the following statements best describes your right to work in Malaysia?
What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
Which of the following programming languages are you experienced in?
How many years' experience do you have using SQL queries?
Which of the following Relational Database Management Systems (RDBMS) are you experienced with?
How would you rate your English language skills?
Which of the following languages are you fluent in?"
