,job_id,job_title,company,descriptions,location,category,subcategory,type,salary
10,72844633,Associate Process Engineer (All Modules),GlobalFoundries Singapore,"Review & analyze SPC/FDC (statistical process control / fault detection classification) charts by following modules CAS/SOP (control action system / standard operating procedure).
Review setup data and release tool with proper SOP.
Troubleshoot process related issues. Provide detailed and accurate pass-down of tool/process related inhibits & lot disposition.
Proper and accurate pass-down of line issues and documentation.
Assist Engineers & participate in the qualification, process improvement projects or new processes and new equipment qualification remotely.
Coordinate with PE, EAE/EE, Technician, ME & other module to ensure that work is carried out according to SOP to meet module objectives.
Actively participate in various CIP (continuous improvement projects) to improve process robustness, cost and capacity efficiency.
Diploma in Electrical / Electronics / Mechanical / Mechatronics / Microelectronics / Chemical Process Engineering / Chemistry / Physics.
1-2 years working experience in an electrical / electronics industry.
Good team player, willing to learn new skills with good initiatives and accountability.
Good communication skills (interpersonal, oral and written).
Perform shift duties (12-hours shift, day/night rotation) to support operations.
Flexible and able to support overtime.",Penang Island,Engineering,Process Engineering,Full time,
11,72750107,IT Business Analyst,Mewah Group,"To develop new software applications and customize existing systems to meet business requirements.
To perform business requirement studies, analysis and testing to ensure effective system design.
To identify areas for improvement, make recommendations and implement solutions to improve efficiency and productivity in business processes.
Able to lead or contribute to system implementation projects and ensure they are delivered on time and within the budget.
To collaborate with cross-functional teams to understand technology needs and implement solutions accordingly.
To prepare and maintain application system documentation.
To conduct application user training, including technical training to enable users to operate the system in an effective and efficient manner.
Able to support System Recovery.
To assist in Daily system administration, including maintenance, backup, troubleshooting, and system security.
The candidate must possess at least a Bachelor's Degree in Computer Science or equivalent.
At least 2–3 years of working experience in the related field is preferable for this position.
Required skill(s): Computer programming (Javascript, HTML), Database management (SQL), Power BI.
Experience with NetSuite ERP and NetSuite SuiteScript is an advantage.
Good verbal and written communication skills in English and Bahasa Malaysia.
Applicants with strong project management skills, system implementation skills, analytical and problem-solving skills, result oriented and hardworking will have an added advantage.
Flexible and willing to work beyond normal working hours.
Able to work independently with less supervision and work as a team.
Applicants must be proactive, hardworking and able to work under deadlines.
Are you willing to relocate for this role?",Klang District,Information & Communication Technology,Business/Systems Analysts,Full time,
12,72693889,Contract Business Administration Analyst,RGA Global Reinsurance Company Ltd Labuan Branch,"Use RGA administration system to process client statement/data to ensure accuracy and completeness on the final results for reporting
Perform data checking and liase with client for any reinsurance issue arise pertaining to the statement
For statements not received, make sure correct accrual methods are adopted and reasonable amounts are accrued at each month end process
Identify risks to be ceded out and calculate related amounts accurately according to retrocession arrangement at each month's end
Map or remap data into a common format in case of new format or format change on client data
Extract and analyze data to fulfill ad hoc projects, e.g. experience study
Support on various management reporting tasks
Support to review treaty content from admin's perspective
Support on different types of project execution and management
Actively involved in team discussions and be able to communicate with other local functions effectively
University degree or above in actuarial science, mathematics, statistic, information technology, accounting or other related disciplines
Client-focused and target driven
A good team player who can also work on own initiative
Logical thinking, attention to detail, time management and problem-solving skills
Ability to cope with multi tasks at the same time, work under pressure and prioritize them based on team's goal
A positive attitude in dealing with people and different types of tasks
Better to have some working experience
Basic understanding or Oracle SQL; prior experience on Toad would be a plus
Access and Excel skill (including but not limited to VLOOKUP, write/edit VBA)
Be able to handle basic English communication in own field
Intellectual curiosity and the desire to learn",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,"RM 4,000 – RM 4,500 per month"
13,72871004,Data Scientist,Private Advertiser,"What's your expected monthly basic salary?
How many years' experience do you have as a data scientist?
Which of the following programming languages are you experienced in?
Have you worked in a role which requires experience with machine learning?",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,
14,72814199,Data Scientist,Continental Tyre PJ (M) Sdn Bhd,"Working with domain experts to understand their problems and solve them with data.
Understanding the Continental Tires data landscape with its diverse applications and architectures.
Being a partner in connecting the necessary experts from business and IT to solve problems.
Getting involved into different tasks at once and involving yourself with our team to get the support you need.
Supporting shaping the processes and organization to leverage the business value Data Science can bring to Continental.
Running exploratory analysis, creating data insights and conclusions, and developing predictive models programmatically.
Academic degree in computer science, data science, econometrics or similar studies
Several years of work experience in IT or data science
Comprehensive knowledge of methods from Machine Learning, Artificial Intelligence, Statistics, and Mathematical Optimization
Experience in orchestration and industrialization of data science projects, including the knowledge of necessary cloud stacks (e.g., Kubernetes, AWS, Jenkins, Airflow), a widespread programming language (e. g. Python, R, SAS, Scala or similar), time series forecasting and customer analytics
Working knowledge of version control with Git or CLI, with database systems and data extraction from diverse sources (including SQL)
Experience with tabular data, in data visualization, and data storytelling, beneficial
Experience with communicating model performance to stakeholders beneficial
Domain knowledge in Supply Chain Management, Sales or Marketing beneficial
Agile as well as traditional project management skills
Reliable team player with structured self-organized workstyle
Intercultural sensitivity
Good English language skills (written and spoken)
Individual development planning based on your personal needs and targets (e. g. mentoring, trainings or global internal Software Academy)
Work from home up to days per weekdays a week (unless workshops etc. require physical presence)
Performance bonus
Casual leave with pay (e. g. paternity leave, maternity leave)
Agile and collaborative workstyle
Opportunity to make a difference
Employee discounts
An international team across enter number of hubs at CC locations in a globally active organization
Employee Providence Fund 16% upon confirmation
Retirement savings plan (exceeding EPF standard)
Group Term Life Insurance
Unlimited medical coverage for your spouse and children, incl. general, optical and dental health and hospitalization coverage
Relocation package offered if needed
Canteen on-site
Sport center on-site incl. Continental sports club
On-site physicians
Clinical Services structure on-site
Interest-free car loans and housing loan interest subsidy
Examination leave
Sabbatical option",Petaling,Information & Communication Technology,Database Development & Administration,Full time,
15,72867189,Data Engineer,FARMBYTE SDN. BHD.,"Implement and manage AWS cloud solutions to enhance our data infrastructure.
Design and maintain a scalable and reliable data lake and data pipeline.
Leverage cloud technologies for efficient data extraction, transformation, and loading.
Ensure high performance and troubleshoot issues within our cloud-based data systems.
Collaborate with cross-functional teams to integrate cloud services and drive FarmByte data strategy.
Advocate for data best practices and contribute to innovative data solutions in the agrofood sector.
Bachelor’s or Master's degree in Computer Science, Information Technology, Engineering, or related field.
Proven experience as a Data Engineer, with strong expertise in AWS and cloud environments.
Proficient in data management, SQL, Python, and other relevant programming languages.
Familiarity with data pipeline and workflow management tools.
Deep understanding of cloud-based data storage and processing technologies
Passion for technology-driven solutions in the agrofood industry.
Excellent analytical and problem-solving skills
Strong communication abilities and a collaborative spirit
Eagerness to embrace challenges and drive innovation in the agrofood sector
Experience in data security and compliance in cloud environments
What's your expected monthly basic salary?
How many years' experience do you have as a Data Engineer?",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 4,000 – RM 6,000 per month"
16,72878751,Data Analyst,Taylor's Education Group,,Petaling,Consulting & Strategy,Analysts,Full time,
17,72696058,DATA ANALYST,LYNX SOLUTIONS SDN. BHD.,"Handle administrative duties and ad-hoc from sales leader.
Planing and monitoring data based on company's market data and provided sales data, thus outlining problems, opportunities and solutions for company.
Mainly focuses on analyzing the conversion rate data of Salesperson, compare the data as well as present the optimization proposal.
Integrate the result of data analysis.
Lead and supervise the working behavior of Salesperson. Provide guidance in order to improve as well as enhance Sales team's conversion data.
Preferably individuals possess good problem solving skills and high flexibility in resolving issues.
At least one year experience in Analytical/Statistics/Sales Data Analyst fields.
Proficiency in using Statistics Software, Excel and Tableau Desktop would be an added advantage.
Strong analytical and problem solving skills.
Fast learner, high responsibility, proven to work as a team and willingness to learn.
Languange: 
Must be able to speak, write & read Mandarin, and English at least for basic communication.
Proficiency in using Microsoft PowerPoint would be an advantage.
Working experience in financial services industry preferred.
Possess at least Bachelor's Degree/Post Graduate Diploma in Finance/Analyst or equivalent. Possess huge interest in Analytical fields.
How would you rate your Mandarin language skills?
What's your expected monthly basic salary?
How much notice are you required to give your current employer?",Kuala Lumpur,Marketing & Communications,Market Research & Analysis,Full time,"RM 4,000 – RM 4,500 per month"
18,72863386,Data Analysts/ Data Engineers (Bangsar South- Kerinchi LRT),AG Staffing Malaysia,"Data Collection and Analysis: Collaborate with cross-functional teams to gather and analyze game-related data, including player behaviour, in-game transactions, and performance metrics.
Data Visualization: Create insightful and easy-to-understand data visualizations, dashboards, and reports to communicate key findings to stakeholders.
Player Insights: Identify trends and patterns in player behaviour, demographics, and preferences to enhance player experiences and engagement.
A/B Testing: Design and execute A/B tests to evaluate the impact of game updates and features on player engagement and monetization.
Performance Optimization: Work closely with game developers to optimize game performance, identify bottlenecks, and recommend improvements.
Predictive Analytics: Utilize statistical and machine learning techniques to build predictive models for player churn, spending patterns, and other relevant metrics.
Data Quality Assurance: Ensure data accuracy and integrity by implementing data validation processes and quality checks.
Fresh graduates are encouraged to apply 
Bachelor's degree in a relevant field (e.g., Data Science, Statistics, Computer Science, or a related discipline). Advanced degree preferred.
Proven experience in data analysis, preferably in the gaming industry.
Proficiency in data analysis tools such as SQL, Python, or R.
Strong data visualization skills using tools like Tableau, Power BI, or similar.
Familiarity with statistical analysis and A/B testing methodologies.
Excellent communication skills with the ability to present complex data findings to both technical and non-technical stakeholders.
Self-motivated, detail-oriented, and able to work independently as well as part of a team.
Passion for gaming and a deep understanding of gaming mechanics and player behaviour is a plus.
Data Pipeline Development: Design, build, and maintain scalable and efficient data pipelines to collect, process, and store game-related data from various sources.
Data Architecture: Collaborate with data analysts and data scientists to design and optimize data models and schema for analytical and reporting needs.
ETL Processes: Develop and implement ETL processes for transforming raw data into structured datasets, ensuring data accuracy and integrity.
Performance Optimization: Monitor and optimize data pipelines for performance, reliability, and cost-effectiveness.
Data Quality Assurance: Implement data validation, data quality checks, and error handling to ensure data consistency and accuracy.
Database Management: Administer and manage data storage systems, including data warehouses and data lakes.
Documentation: Maintain clear and comprehensive documentation for data pipelines, processes, and architectural decisions.
Bachelor's degree in Computer Science, Data Engineering, or a related field. Advanced degree preferred.
Proven experience as a data engineer with expertise in data pipeline development, ETL processes, and data architecture.
Proficiency in programming languages such as Python, Java, or Scala.
Strong knowledge of data modeling, database management, and SQL.
Experience with big data technologies and frameworks, such as Hadoop, Spark, or Flink.
Familiarity with cloud platforms like AWS, Azure, or Google Cloud.
Excellent problem-solving skills and the ability to work collaboratively in a team.
Passion for gaming and a deep understanding of gaming data is a plus.
13th Months Salary (upon Company Declaration)
Project Incentive (upon Company Declaration based on project performance)
Transport, Meal, Birthday Allowances (upon Confirmation)
Sports Activities (Badminton & Basketball), Company Outing
Training and certification sponsored by company (Selected employees).
Rewards and recognition: Long Service Award / Best Performer Award / Role Model Awards etc
What's your expected monthly basic salary?",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 8,000 – RM 12,000 per month"
19,72382969,Machine Learning Engineer (Artificial Intelligence),FootfallCam,"Design, develop, and deploy machine learning models and algorithms for complex and unique datasets, using various techniques such as mathematical modeling, scikit-learn, NLP, CNN, RNN, DL, RL, Transformers, GAN, LLM, RAG
Collaborate with cross-functional teams to extract insights, identify business opportunities and provide data-driven recommendations
Stay up-to-date with the latest machine learning and AI techniques and tools
Communicate complex technical concepts to non-technical stakeholders in an easy-to-understand manner
Bachelor's degree or higher in Computer Science, Mathematics, Statistics, Actuarial Science, Informatics, Information Science or related fields
Strong analytical skills and attention to detail
Participation in Kaggle, Mathematics Olympiad or similar competitions is a plus
Excellent programming skills in Python, R, Java, or C++
Familiar with ML frameworks such as Tensorflow, Keras, PyTorch, MLFlow, AutoML, TensorRT, CUDA
Excellent communication and collaboration skills
Experience with designing, training, and deploying machine learning models
Customer centric and committed to deliver the best AI results to customers",Kuala Lumpur,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"RM 4,000 – RM 6,000 per month"
20,72856382,Data Analyst,Daikin Malaysia Sales & Service Sdn. Bhd.,"Collect, process, and analyze data to help companies improve and grow.
Using automated tools to extract data from primary and secondary sources
Removing corrupted/duplicate data and fixing coding errors and related problems
Developing and maintaining databases, and data systems – reorganizing data in a readable format 
Performing analysis to assess the quality and meaning of data
Filter Data by reviewing reports and performance indicators to identify and correct code problems
Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction
Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time.
Preparing reports for the management stating trends, patterns, and predictions using relevant data
Working with other department to identify process improvement opportunities, propose system modifications, and devise data governance strategies. 
Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends
Degree in A bachelor's degree in a related field, such as mathematics, statistics, computer science, economics, or engineering
Fresh graduate are highly encourage to apply
Language (spoken/written) : English, Bahasa Malaysia and Chinese
Computer skill: Python, R, Power BI & MS-Excel 
Experience working with tools that are designed to carry out data analytics and visualizations
What's your expected monthly basic salary?
How many years' experience do you have as a data analyst?
Which of the following programming languages are you experienced in?",Petaling,Information & Communication Technology,Business/Systems Analysts,Full time,"RM 4,000 – RM 6,000 per month"
